46:21.5,1.42111E+12,GGG,gx,-0.057556238, gy,-0.11404615, gz,-0.057556238
46:21.5,1.42111E+12,GGG,gx,-0.03837109, gy,-0.05222672, gz,-0.028778385
46:21.5,1.42111E+12,GGG,gx,-0.040502686, gy,-0.024514664, gz,-0.010659036
46:21.6,1.42111E+12,GGG,gx,-0.06501735, gy,-0.05542464, gz,-0.014922224
46:21.6,1.42111E+12,GGG,gx,-0.0724782, gy,-0.07780718, gz,-0.021317273
46:21.6,1.42111E+12,GGG,gx,-0.06395155, gy,-0.053292517, gz,-0.007461112
46:21.6,1.42111E+12,GGG,gx,-0.011724833, gy,-0.006395315, gz,0.020250943
46:21.6,1.42111E+12,GGG,gx,0.02557993, gy,0.011724034, gz,0.027712055
46:21.7,1.42111E+12,GGG,gx,-0.025580462, gy,-0.039436888, gz,0.029843649
46:21.7,1.42111E+12,GGG,gx,-0.073543996, gy,-0.08953201, gz,0.030909447
46:21.7,1.42111E+12,GGG,gx,-0.049029328, gy,-0.092729405, gz,0.041567683
46:21.7,1.42111E+12,GGG,gx,0.030909447, gy,-0.011724833, gz,0.057555705
46:21.7,1.42111E+12,GGG,gx,0.047962997, gy,0.023448335, gz,0.06501655
46:21.8,1.42111E+12,GGG,gx,-0.024514664, gy,-0.029844182, gz,0.060753096
46:21.8,1.42111E+12,GGG,gx,-0.05542464, gy,-0.062885754, gz,0.03410684
46:21.8,1.42111E+12,GGG,gx,-0.005329518, gy,-0.027712587, gz,0.022382537
46:21.8,1.42111E+12,GGG,gx,0.023448335, gy,0.006394783, gz,0.022382537
46:21.8,1.42111E+12,GGG,gx,-0.01811988, gy,0.004263188, gz,0.006394783
46:21.9,1.42111E+12,GGG,gx,-0.094861, gy,-0.069280535, gz,-0.00106633
46:21.9,1.42111E+12,GGG,gx,-0.11724407, gy,-0.09805839, gz,-0.021317273
46:21.9,1.42111E+12,GGG,gx,-0.05542464, gy,-0.061819427, gz,-0.04476614
46:21.9,1.42111E+12,GGG,gx,-0.008526909, gy,-0.034107372, gz,-0.028778385
46:21.9,1.42111E+12,GGG,gx,-0.006395315, gy,-0.036239497, gz,-0.005329518
46:22.0,1.42111E+12,GGG,gx,-0.023448868, gy,-0.041568484, gz,-0.010659036
46:22.0,1.42111E+12,GGG,gx,-0.03837109, gy,-0.031975776, gz,-0.013856427
46:22.0,1.42111E+12,GGG,gx,-0.029844182, gy,-0.021317273, gz,-0.003197924
46:22.0,1.42111E+12,GGG,gx,-0.014922224, gy,-0.011724833, gz,-0.00106633
46:22.0,1.42111E+12,GGG,gx,-0.01279063, gy,-0.008526909, gz,0.003197391
46:22.1,1.42111E+12,GGG,gx,-0.024514664, gy,-0.024514664, gz,0.018119348
46:22.1,1.42111E+12,GGG,gx,-0.00106633, gy,0.001065797, gz,0.028777853
46:22.1,1.42111E+12,GGG,gx,0.036238696, gy,0.031975243, gz,0.01705302
46:22.1,1.42111E+12,GGG,gx,0.035172634, gy,0.010658237, gz,0.011724034
46:22.1,1.42111E+12,GGG,gx,-0.007461112, gy,-0.028778385, gz,0.018119348
46:22.2,1.42111E+12,GGG,gx,-0.014922224, gy,-0.033041574, gz,0.015987223
46:22.2,1.42111E+12,GGG,gx,-0.006395315, gy,0.001065797, gz,0.013855628
46:22.2,1.42111E+12,GGG,gx,-0.003197924, gy,0.00959244, gz,0.024514131
46:22.2,1.42111E+12,GGG,gx,0.002131594, gy,0.006394783, gz,0.022382537
46:22.2,1.42111E+12,GGG,gx,0.008526376, gy,0.006394783, gz,0.011724034
